date;code_insee_region;region;tmin;tmax;tmoy
30/05/2016;84;Auvergne-RhÃ´ne-Alpes;11.95;18.85;15.4
31/05/2016;11;ÃŽle-de-France;12.02;14.32;13.17
01/06/2016;24;Centre-Val de Loire;11.83;17.53;14.68
02/06/2016;11;ÃŽle-de-France;12.18;13.18;12.68
02/06/2016;52;Pays de la Loire;13.55;17.9;15.72
02/06/2016;28;Normandie;11.38;12.9;12.14
03/06/2016;32;Hauts-de-France;10.4;13.36;11.88
03/06/2016;75;Nouvelle-Aquitaine;12.72;20.49;16.61
03/06/2016;44;Grand Est;13.03;19.31;16.17
04/06/2016;93;Provence-Alpes-CÃ´te d'Azur;14.67;23.52;19.09
04/06/2016;11;ÃŽle-de-France;12.16;17.38;14.77
04/06/2016;44;Grand Est;13.61;18.74;16.18
05/06/2016;44;Grand Est;14.07;23.21;18.64
05/06/2016;11;ÃŽle-de-France;13.52;19.84;16.68
05/06/2016;93;Provence-Alpes-CÃ´te d'Azur;13.9;24.62;19.26
05/06/2016;27;Bourgogne-Franche-ComtÃ©;14.27;22.07;18.17
06/06/2016;27;Bourgogne-Franche-ComtÃ©;12.03;26.27;19.15
06/06/2016;76;Occitanie;13.27;27.13;20.2
06/06/2016;28;Normandie;13.56;22.82;18.19
07/06/2016;24;Centre-Val de Loire;13.05;26.63;19.84
07/06/2016;52;Pays de la Loire;14.4;26.15;20.28
07/06/2016;93;Provence-Alpes-CÃ´te d'Azur;15.78;27.0;21.39
07/06/2016;53;Bretagne;14.03;22.25;18.14
07/06/2016;94;Corse;14.45;25.3;19.88
07/06/2016;27;Bourgogne-Franche-ComtÃ©;13.37;26.85;20.11
07/06/2016;75;Nouvelle-Aquitaine;15.69;25.91;20.8
08/06/2016;52;Pays de la Loire;12.65;26.35;19.5
08/06/2016;93;Provence-Alpes-CÃ´te d'Azur;15.93;27.25;21.59
09/06/2016;44;Grand Est;12.81;23.23;18.02
09/06/2016;28;Normandie;10.96;21.52;16.24
09/06/2016;32;Hauts-de-France;11.16;21.14;16.15
09/06/2016;93;Provence-Alpes-CÃ´te d'Azur;16.97;27.03;22.0
10/06/2016;27;Bourgogne-Franche-ComtÃ©;11.27;24.82;18.04
10/06/2016;32;Hauts-de-France;10.26;22.04;16.15
10/06/2016;84;Auvergne-RhÃ´ne-Alpes;11.02;23.97;17.5
10/06/2016;93;Provence-Alpes-CÃ´te d'Azur;14.77;26.23;20.5
11/06/2016;93;Provence-Alpes-CÃ´te d'Azur;15.87;26.45;21.16
11/06/2016;76;Occitanie;15.17;22.77;18.97
